term,category,notes
Accra,city,Capital city of Ghana
Kumasi,city,Capital of Ashanti Region
Tamale,city,Capital of Northern Region
Takoradi,city,Major port city in Western Region
Cape Coast,city,Historical coastal city
Tema,city,Major industrial port city
Sunyani,city,Capital of Bono Region
Ho,city,Capital of Volta Region
Koforidua,city,Capital of Eastern Region
Bolgatanga,city,Capital of Upper East Region
Wa,city,Capital of Upper West Region
Techiman,city,Major market town in Bono East
Obuasi,city,Gold mining city in Ashanti
Tarkwa,city,Mining city in Western Region
Nkawkaw,city,Town in Eastern Region
Greater Accra,region,Most populous region
Ashanti,region,Central region known for Asante culture
Northern,region,Largest region by area
Western,region,Coastal region with ports
Eastern,region,Region east of Greater Accra
Volta,region,Eastern border region
Central,region,Historical coastal region
Bono,region,Western inland region
Upper East,region,Northern border region
Upper West,region,Northwestern region
Kwame Nkrumah Mausoleum,landmark,Memorial to first president
Independence Square,landmark,Major public square in Accra
Cape Coast Castle,landmark,UNESCO World Heritage Site
Elmina Castle,landmark,Historic slave trade castle
Lake Volta,landmark,One of largest artificial lakes
