term,category,notes
University of Ghana,university,Oldest and largest university in Accra
Kwame Nkrumah University of Science and Technology,university,Major technical university in Kumasi
University of Cape Coast,university,Major university in Central Region
University of Education Winneba,university,Teacher training university
Ghana Institute of Management and Public Administration,university,Business and public administration
University for Development Studies,university,Development-focused university in Tamale
Ashesi University,university,Private liberal arts university
Central University,university,Private Christian university
Ghana Technology University College,university,Technical education focus
Regent University College of Science and Technology,university,Private university in Accra
Accra Technical University,polytechnic,Former Accra Polytechnic
Kumasi Technical University,polytechnic,Former Kumasi Polytechnic
Cape Coast Technical University,polytechnic,Former Cape Coast Polytechnic
Takoradi Technical University,polytechnic,Former Takoradi Polytechnic
Ho Technical University,polytechnic,Former Ho Polytechnic
Sunyani Technical University,polytechnic,Former Sunyani Polytechnic
Koforidua Technical University,polytechnic,Former Koforidua Polytechnic
Tamale Technical University,polytechnic,Former Tamale Polytechnic
Bolgatanga Technical University,polytechnic,Former Bolgatanga Polytechnic
Wa Technical University,polytechnic,Former Wa Polytechnic
Achimota School,secondary,Historic senior high school in Accra
Mfantsipim School,secondary,Historic boys school in Cape Coast
Wesley Girls High School,secondary,Historic girls school in Cape Coast
Prempeh College,secondary,Premier boys school in Kumasi
St Augustine's College,secondary,Catholic boys school in Cape Coast
Opoku Ware School,secondary,Boys school in Kumasi
Holy Child School,secondary,Girls school in Cape Coast
Adisadel College,secondary,Boys school in Cape Coast
Ghana National College,secondary,School in Cape Coast
Accra Academy,secondary,Boys school in Accra
